================================================================================                 
评估报告                                                                                         
================================================================================                 
总体准确率: 62.80%                                                                               
================================================================================                 
类别                             精确率          召回率          F1分数                          
--------------------------------------------------------------------------------                 
001.Black_footed_Albatross     0.5000       0.5000       0.5000                                  
002.Laysan_Albatross           0.6250       0.8333       0.7143                                  
003.Sooty_Albatross            0.5000       0.1667       0.2500                                  
004.Groove_billed_Ani          0.5714       0.6667       0.6154                                  
005.Crested_Auklet             0.7500       0.6000       0.6667                                  
006.Least_Auklet               0.5000       0.4000       0.4444                                  
007.Parakeet_Auklet            0.6250       0.8333       0.7143                                  
008.Rhinoceros_Auklet          0.4000       0.4000       0.4000                                  
009.Brewer_Blackbird           0.4000       0.3333       0.3636                                  
010.Red_winged_Blackbird       1.0000       0.8333       0.9091                                  
011.Rusty_Blackbird            0.5000       0.5000       0.5000                                  
012.Yellow_headed_Blackbird    1.0000       1.0000       1.0000      
013.Bobolink                   0.7500       1.0000       0.8571      
014.Indigo_Bunting             0.7500       1.0000       0.8571      
015.Lazuli_Bunting             0.7500       1.0000       0.8571      
016.Painted_Bunting            0.6250       0.8333       0.7143      
017.Cardinal                   0.8000       0.6667       0.7273      
018.Spotted_Catbird            0.6667       0.8000       0.7273      
019.Gray_Catbird               1.0000       0.5000       0.6667      
020.Yellow_breasted_Chat       0.7143       0.8333       0.7692      
021.Eastern_Towhee             0.3846       0.8333       0.5263      
022.Chuck_will_Widow           0.4000       0.3333       0.3636      
023.Brandt_Cormorant           0.3333       0.3333       0.3333     
024.Red_faced_Cormorant        1.0000       0.6667       0.8000      
025.Pelagic_Cormorant          0.6667       0.6667       0.6667      
026.Bronzed_Cowbird            1.0000       0.6667       0.8000      
027.Shiny_Cowbird              0.3333       0.3333       0.3333      
028.Brown_Creeper              0.8333       0.8333       0.8333      
029.American_Crow              0.0000       0.0000       0.0000      
030.Fish_Crow                  0.2000       0.1667       0.1818      
031.Black_billed_Cuckoo        0.3750       0.5000       0.4286      
032.Mangrove_Cuckoo            1.0000       0.5000       0.6667      
033.Yellow_billed_Cuckoo       0.7500       0.5000       0.6000      
034.Gray_crowned_Rosy_Finch    0.6250       0.8333       0.7143      
035.Purple_Finch               1.0000       0.8333       0.9091      
036.Northern_Flicker           0.6000       0.5000       0.5455      
037.Acadian_Flycatcher         0.4000       0.3333       0.3636      
038.Great_Crested_Flycatcher   0.3333       0.1667       0.2222      
039.Least_Flycatcher           0.2222       0.3333       0.2667      
040.Olive_sided_Flycatcher     0.4000       0.3333       0.3636      
041.Scissor_tailed_Flycat...   0.8333       0.8333       0.8333      
042.Vermilion_Flycatcher       0.8333       0.8333       0.8333      
043.Yellow_bellied_Flycat...   0.6667       0.3333       0.4444      
044.Frigatebird                0.6667       0.6667       0.6667      
045.Northern_Fulmar            0.5000       0.3333       0.4000      
046.Gadwall                    0.8333       0.8333       0.8333      
047.American_Goldfinch         1.0000       0.8333       0.9091      
048.European_Goldfinch         0.7143       0.8333       0.7692      
049.Boat_tailed_Grackle        0.1667       0.1667       0.1667      
050.Eared_Grebe                0.6250       0.8333       0.7143      
051.Horned_Grebe               0.8333       0.8333       0.8333      
052.Pied_billed_Grebe          0.6250       0.8333       0.7143      
053.Western_Grebe              0.8571       1.0000       0.9231      
