================================================================================              
评估报告                                                                                      
================================================================================              
总体准确率: 78.76%                                                                            
================================================================================              
类别                             精确率          召回率          F1分数                       
--------------------------------------------------------------------------------              
001.Black_footed_Albatross     0.4444       0.6667       0.5333                               
002.Laysan_Albatross           1.0000       0.8333       0.9091                               
003.Sooty_Albatross            1.0000       0.6667       0.8000                               
004.Groove_billed_Ani          0.4545       0.8333       0.5882                               
005.Crested_Auklet             1.0000       0.8000       0.8889                               
006.Least_Auklet               0.8000       0.8000       0.8000                               
007.Parakeet_Auklet            0.8571       1.0000       0.9231                               
008.Rhinoceros_Auklet          1.0000       0.4000       0.5714                               
009.Brewer_Blackbird           0.4286       0.5000       0.4615                               
010.Red_winged_Blackbird       0.8571       1.0000       0.9231                               
011.Rusty_Blackbird            1.0000       0.5000       0.6667                               
012.Yellow_headed_Blackbird    1.0000       1.0000       1.0000                               
013.Bobolink                   1.0000       1.0000       1.0000                               
014.Indigo_Bunting             0.7500       1.0000       0.8571                               
015.Lazuli_Bunting             0.8571       1.0000       0.9231                               
016.Painted_Bunting            0.8333       0.8333       0.8333                               
017.Cardinal                   0.8333       0.8333       0.8333                               
018.Spotted_Catbird            0.6250       1.0000       0.7692                               
019.Gray_Catbird               0.7500       1.0000       0.8571                               
020.Yellow_breasted_Chat       1.0000       1.0000       1.0000                               
021.Eastern_Towhee             0.8571       1.0000       0.9231                               
022.Chuck_will_Widow           0.6250       0.8333       0.7143                               
023.Brandt_Cormorant           0.3333       0.3333       0.3333                               
024.Red_faced_Cormorant        0.8333       0.8333       0.8333                               
025.Pelagic_Cormorant          0.5000       0.5000       0.5000            
026.Bronzed_Cowbird            1.0000       0.8333       0.9091      
027.Shiny_Cowbird              0.3636       0.6667       0.4706      
028.Brown_Creeper              0.6667       1.0000       0.8000      
029.American_Crow              0.0000       0.0000       0.0000      
030.Fish_Crow                  0.1250       0.1667       0.1429      
031.Black_billed_Cuckoo        1.0000       0.5000       0.6667      
032.Mangrove_Cuckoo            0.6667       0.3333       0.4444      
033.Yellow_billed_Cuckoo       0.4000       1.0000       0.5714      
034.Gray_crowned_Rosy_Finch    1.0000       1.0000       1.0000      
035.Purple_Finch               1.0000       1.0000       1.0000      
036.Northern_Flicker           0.8571       1.0000       0.9231      
037.Acadian_Flycatcher         0.5714       0.6667       0.6154      
038.Great_Crested_Flycatcher   0.6000       0.5000       0.5455      
039.Least_Flycatcher           0.6000       0.5000       0.5455      
040.Olive_sided_Flycatcher     1.0000       0.5000       0.6667      
041.Scissor_tailed_Flycat...   0.8571       1.0000       0.9231      
042.Vermilion_Flycatcher       1.0000       1.0000       1.0000      
043.Yellow_bellied_Flycat...   0.7500       0.5000       0.6000      
044.Frigatebird                0.8000       0.6667       0.7273      
045.Northern_Fulmar            0.6667       1.0000       0.8000      
046.Gadwall                    0.7500       1.0000       0.8571      
047.American_Goldfinch         1.0000       1.0000       1.0000      
048.European_Goldfinch         1.0000       1.0000       1.0000      
049.Boat_tailed_Grackle        0.0000       0.0000       0.0000      
050.Eared_Grebe                0.7143       0.8333       0.7692      
051.Horned_Grebe               0.8000       0.6667       0.7273      
