================================================================================                      
评估报告                                                                                              
================================================================================                      
总体准确率: 77.16%                                                                                    
================================================================================                      
类别                             精确率          召回率          F1分数                               
--------------------------------------------------------------------------------                      
001.Black_footed_Albatross     0.4545       0.8333       0.5882                                       
002.Laysan_Albatross           0.8333       0.8333       0.8333                                       
003.Sooty_Albatross            1.0000       0.6667       0.8000                                       
004.Groove_billed_Ani          0.5714       0.6667       0.6154                                       
005.Crested_Auklet             0.8000       0.8000       0.8000                                       
006.Least_Auklet               1.0000       0.8000       0.8889                                       
007.Parakeet_Auklet            0.8571       1.0000       0.9231                                       
008.Rhinoceros_Auklet          0.6667       0.4000       0.5000                                       
009.Brewer_Blackbird           0.3750       0.5000       0.4286                                       
010.Red_winged_Blackbird       0.8571       1.0000       0.9231                                       
011.Rusty_Blackbird            1.0000       0.5000       0.6667                                       
012.Yellow_headed_Blackbird    0.8571       1.0000       0.9231                                       
013.Bobolink                   0.8571       1.0000       0.9231                                       
014.Indigo_Bunting             0.7143       0.8333       0.7692                                       
015.Lazuli_Bunting             0.8571       1.0000       0.9231                                       
016.Painted_Bunting            1.0000       0.8333       0.9091                                       
017.Cardinal                   1.0000       0.6667       0.8000                                       
018.Spotted_Catbird            0.8000       0.8000       0.8000                                       
019.Gray_Catbird               0.7500       1.0000       0.8571                                       
020.Yellow_breasted_Chat       1.0000       1.0000       1.0000                                       
021.Eastern_Towhee             0.8571       1.0000       0.9231                                       
022.Chuck_will_Widow           0.5000       0.6667       0.5714                                       
023.Brandt_Cormorant           0.5000       0.5000       0.5000                                       
024.Red_faced_Cormorant        1.0000       0.8333       0.9091                                       
025.Pelagic_Cormorant          0.3750       0.5000       0.4286                                       
026.Bronzed_Cowbird            1.0000       0.8333       0.9091                                       
027.Shiny_Cowbird              0.2857       0.3333       0.3077                                       
028.Brown_Creeper              0.6000       1.0000       0.7500                                       
029.American_Crow              0.1667       0.1667       0.1667                                       
030.Fish_Crow                  0.6000       0.5000       0.5455                                       
031.Black_billed_Cuckoo        0.8333       0.8333       0.8333             
032.Mangrove_Cuckoo            1.0000       0.3333       0.5000                             [139/1954]
033.Yellow_billed_Cuckoo       0.5000       1.0000       0.6667                                       
034.Gray_crowned_Rosy_Finch    1.0000       0.8333       0.9091                                       
035.Purple_Finch               1.0000       1.0000       1.0000                                       
036.Northern_Flicker           0.7500       1.0000       0.8571                                       
037.Acadian_Flycatcher         1.0000       0.6667       0.8000                                       
038.Great_Crested_Flycatcher   0.8000       0.6667       0.7273                                       
039.Least_Flycatcher           0.6000       0.5000       0.5455                                       
040.Olive_sided_Flycatcher     0.8000       0.6667       0.7273                                       
041.Scissor_tailed_Flycat...   0.8571       1.0000       0.9231                                       
042.Vermilion_Flycatcher       1.0000       1.0000       1.0000                                       
043.Yellow_bellied_Flycat...   1.0000       0.6667       0.8000                                       
044.Frigatebird                1.0000       0.8333       0.9091                                       
045.Northern_Fulmar            0.5000       0.8333       0.6250                                       
046.Gadwall                    0.6250       0.8333       0.7143                                       
047.American_Goldfinch         1.0000       1.0000       1.0000                                       
048.European_Goldfinch         0.8571       1.0000       0.9231                                       
049.Boat_tailed_Grackle        0.0000       0.0000       0.0000                                       
050.Eared_Grebe                0.7143       0.8333       0.7692                                       
051.Horned_Grebe               0.7143       0.8333       0.7692                                       
052.Pied_billed_Grebe          0.7500       1.0000       0.8571                                       
053.Western_Grebe              1.0000       0.8333       0.9091                                       
054.Blue_Grosbeak              1.0000       0.8333       0.9091                                       
055.Evening_Grosbeak           1.0000       1.0000       1.0000                                       
056.Pine_Grosbeak              0.8333       0.8333       0.8333                                       
057.Rose_breasted_Grosbeak     0.8571       1.0000       0.9231                                       
058.Pigeon_Guillemot           1.0000       0.6667       0.8000                                       
059.California_Gull            0.5000       0.1667       0.2500                                       
060.Glaucous_winged_Gull       0.4000       0.6667       0.5000                                       
061.Heermann_Gull              1.0000       0.6667       0.8000                                       
062.Herring_Gull               0.4286       0.5000       0.4615                                       
063.Ivory_Gull                 0.8333       0.8333       0.8333                                       
064.Ring_billed_Gull           1.0000       0.5000       0.6667                                       
065.Slaty_backed_Gull          0.6667       0.4000       0.5000                                       
066.Western_Gull               0.5714       0.6667       0.6154                                       
067.Anna_Hummingbird           0.6667       0.6667       0.6667                                       
068.Ruby_throated_Humming...   0.3333       0.5000       0.4000                                       
069.Rufous_Hummingbird         1.0000       0.8333       0.9091                                       
070.Green_Violetear            1.0000       0.8333       0.9091                                       
071.Long_tailed_Jaeger         0.8000       0.6667       0.7273                                       
072.Pomarine_Jaeger            0.7500       0.5000       0.6000                                       
073.Blue_Jay                   1.0000       0.8333       0.9091                                       
074.Florida_Jay                0.8000       0.6667       0.7273       
075.Green_Jay                  0.8571       1.0000       0.9231                                       
076.Dark_eyed_Junco            0.5714       0.6667       0.6154                                       
077.Tropical_Kingbird          1.0000       0.8333       0.9091                                       
078.Gray_Kingbird              0.7143       0.8333       0.7692                                       
079.Belted_Kingfisher          0.5714       0.6667       0.6154                                       
080.Green_Kingfisher           1.0000       0.6667       0.8000                                       
081.Pied_Kingfisher            1.0000       0.6667       0.8000                                       
082.Ringed_Kingfisher          0.7500       1.0000       0.8571                                       
083.White_breasted_Kingfi...   1.0000       1.0000       1.0000                                       
084.Red_legged_Kittiwake       1.0000       0.8333       0.9091                                       
085.Horned_Lark                1.0000       1.0000       1.0000                                       
086.Pacific_Loon               0.5455       1.0000       0.7059                                       
087.Mallard                    1.0000       0.8333       0.9091                                       
088.Western_Meadowlark         1.0000       0.8333       0.9091                                       
089.Hooded_Merganser           0.8571       1.0000       0.9231                                       
090.Red_breasted_Merganser     0.8333       0.8333       0.8333                                       
091.Mockingbird                0.5000       0.3333       0.4000                                       
092.Nighthawk                  0.8000       0.6667       0.7273                                       
093.Clark_Nutcracker           1.0000       1.0000       1.0000                                       
094.White_breasted_Nuthatch    1.0000       1.0000       1.0000                                       
095.Baltimore_Oriole           0.6000       0.5000       0.5455                                       
096.Hooded_Oriole              0.8333       0.8333       0.8333                                       
097.Orchard_Oriole             1.0000       0.6667       0.8000                                       
