================================================================================                 
评估报告                                                                                         
================================================================================                 
总体准确率: 56.93%                                                                               
================================================================================                 
类别                             精确率          召回率          F1分数                          
--------------------------------------------------------------------------------                 
001.Black_footed_Albatross     0.4286       0.5000       0.4615                                  
002.Laysan_Albatross           1.0000       0.3333       0.5000                                  
003.Sooty_Albatross            0.5000       0.3333       0.4000                                  
004.Groove_billed_Ani          0.2727       0.5000       0.3529                                  
005.Crested_Auklet             1.0000       0.6000       0.7500                                  
006.Least_Auklet               1.0000       0.4000       0.5714                                  
007.Parakeet_Auklet            1.0000       0.8333       0.9091                                  
008.Rhinoceros_Auklet          0.0000       0.0000       0.0000                                  
009.Brewer_Blackbird           0.2857       0.3333       0.3077                                  
010.Red_winged_Blackbird       0.6667       0.6667       0.6667                                  
011.Rusty_Blackbird            0.2308       0.5000       0.3158                                  
012.Yellow_headed_Blackbird    0.6250       0.8333       0.7143                                  
013.Bobolink                   0.6667       1.0000       0.8000                                  
014.Indigo_Bunting             0.5714       0.6667       0.6154                                  
015.Lazuli_Bunting             0.6250       0.8333       0.7143                                  
016.Painted_Bunting            1.0000       0.5000       0.6667      
017.Cardinal                   0.6667       0.3333       0.4444      
018.Spotted_Catbird            0.5000       0.4000       0.4444      
019.Gray_Catbird               0.8333       0.8333       0.8333      
020.Yellow_breasted_Chat       1.0000       0.6667       0.8000      
021.Eastern_Towhee             0.3750       0.5000       0.4286      
022.Chuck_will_Widow           0.5000       0.6667       0.5714      
023.Brandt_Cormorant           0.6667       0.3333       0.4444      
024.Red_faced_Cormorant        1.0000       0.6667       0.8000     
025.Pelagic_Cormorant          0.3333       0.5000       0.4000      
026.Bronzed_Cowbird            0.5556       0.8333       0.6667      
027.Shiny_Cowbird              0.3750       0.5000       0.4286      
028.Brown_Creeper              0.6000       1.0000       0.7500      
029.American_Crow              0.1250       0.1667       0.1429      
030.Fish_Crow                  0.1667       0.1667       0.1667      
031.Black_billed_Cuckoo        0.7500       0.5000       0.6000      
032.Mangrove_Cuckoo            0.0000       0.0000       0.0000      
033.Yellow_billed_Cuckoo       0.3750       1.0000       0.5455      
034.Gray_crowned_Rosy_Finch    0.5000       0.6667       0.5714      
035.Purple_Finch               0.8333       0.8333       0.8333      
036.Northern_Flicker           1.0000       1.0000       1.0000      
037.Acadian_Flycatcher         0.4286       0.5000       0.4615      
038.Great_Crested_Flycatcher   0.2727       0.5000       0.3529      
039.Least_Flycatcher           0.2500       0.3333       0.2857      
040.Olive_sided_Flycatcher     1.0000       0.1667       0.2857      
